UNIQUE_ID,PERIOD,STATE,REGION,CHAIN,EMP,CO_OWNED,BONUS,HRSOPEN,NREGS
46.0,0,0.0,4,1.0,45.0,0.0,1.0,16.5,3.0
49.0,0,0.0,4,2.0,13.0,0.0,0.0,13.0,4.0
506.0,0,0.0,4,2.0,10.0,1.0,0.0,10.0,3.0
56.0,0,0.0,4,4.0,40.0,1.0,1.0,12.0,2.0
61.0,0,0.0,4,4.0,32.0,1.0,1.0,12.0,2.0
62.0,0,0.0,4,4.0,31.0,1.0,0.0,12.0,2.0
445.0,0,0.0,5,1.0,85.0,0.0,0.0,18.0,3.0
451.0,0,0.0,5,1.0,27.0,0.0,0.0,24.0,6.0
455.0,0,0.0,5,2.0,10.0,1.0,0.0,10.0,2.0
458.0,0,0.0,4,2.0,12.0,1.0,0.0,10.0,4.0
462.0,0,0.0,5,3.0,22.5,1.0,1.0,12.5,4.0
468.0,0,0.0,5,1.0,70.0,0.0,0.0,18.0,4.0
469.0,0,0.0,5,1.0,35.0,0.0,0.0,18.0,3.0
470.0,0,0.0,5,1.0,40.5,0.0,0.0,18.0,3.0
474.0,0,0.0,5,1.0,15.0,0.0,0.0,12.5,3.0
481.0,0,0.0,5,2.0,22.5,1.0,1.0,10.0,5.0
483.0,0,0.0,5,2.0,16.0,1.0,1.0,10.0,4.0
487.0,0,0.0,5,3.0,16.0,1.0,1.0,11.5,6.0
488.0,0,0.0,5,3.0,33.0,0.0,1.0,16.0,5.0
489.0,0,0.0,5,3.0,28.0,0.0,1.0,14.0,4.0
490.0,0,0.0,5,3.0,22.5,1.0,0.0,16.0,4.0
493.0,0,0.0,4,3.0,39.0,1.0,0.0,16.0,6.0
495.0,0,0.0,5,3.0,32.0,0.0,0.0,15.0,3.0
496.0,0,0.0,5,3.0,25.0,1.0,1.0,16.0,5.0
499.0,0,0.0,5,4.0,28.0,1.0,1.0,12.0,2.0
509.0,0,0.0,5,3.0,19.0,1.0,0.0,16.0,6.0
515.0,0,0.0,5,3.0,23.0,1.0,0.0,16.0,5.0
37.0,0,0.0,4,1.0,30.0,0.0,0.0,16.5,5.0
39.0,0,0.0,4,1.0,33.0,0.0,0.0,17.5,4.0
40.0,0,0.0,4,1.0,30.0,0.0,0.0,16.5,3.0
41.0,0,0.0,4,1.0,27.0,0.0,0.0,16.5,3.0
42.0,0,0.0,4,1.0,21.0,0.0,0.0,16.5,3.0
45.0,0,0.0,4,1.0,24.0,0.0,0.0,16.0,3.0
47.0,0,0.0,4,1.0,40.0,0.0,0.0,17.0,3.0
48.0,0,0.0,4,1.0,26.0,0.0,1.0,14.0,4.0
50.0,0,0.0,4,2.0,16.0,0.0,0.0,12.0,4.0
51.0,0,0.0,4,2.0,15.0,0.0,0.0,13.0,4.0
57.0,0,0.0,4,4.0,40.0,1.0,1.0,12.0,2.0
58.0,0,0.0,4,4.0,33.0,1.0,0.0,12.0,2.0
59.0,0,0.0,4,4.0,15.0,0.0,0.0,10.5,2.0
