MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,DistCoast,Inland,MedHouseVal
3.6885,49,5.184568835098336,1.0529500756429653,2363,3.5748865355521935,4205.460788,0,2.54
3.5444,12,4.786854460093897,1.0272300469483568,2029,1.9051643192488263,72365.36397,1,1.325
4.2011,9,6.04516129032258,1.038709677419355,1955,3.153225806451613,166848.0718,1,1.081
3.163,26,4.267241379310345,0.9612068965517241,719,3.0991379310344827,28060.62402,0,1.794
4.6197,21,3.7019328585961344,1.0193285859613428,1489,1.5147507629704984,5593.110112,0,3.875
2.0156,47,3.6367924528301887,1.0566037735849056,637,3.0047169811320753,4900.258413,0,0.903
1.7197,34,4.377777777777778,1.0571428571428572,1156,3.6698412698412697,120707.6066,1,0.489
2.8042,35,3.895017793594306,1.0800711743772242,1193,2.122775800711744,20913.16845,0,2.409
4.2305,32,5.891774891774892,1.2359307359307359,2541,5.5,21878.28281,0,2.214
3.7574,33,6.135678391959799,1.185929648241206,488,2.4522613065326633,86350.80376,1,0.927
1.0472,15,5.088,1.112,1383,3.688,172446.4155,1,0.578
4.7663,38,5.566037735849057,1.0150943396226415,827,3.120754716981132,16863.07499,0,1.916
4.775,36,6.707865168539326,1.0365168539325842,838,2.353932584269663,60531.33135,1,1.941
3.066,17,5.346303501945525,1.0817120622568093,1174,2.2840466926070038,177771.9287,1,1.026
6.0922,7,6.922535211267606,1.0492957746478873,1335,3.1338028169014085,5068.004863,0,3.424
4.0119,26,7.12,1.4,293,2.93,60570.18767,1,1.194
2.0694,31,6.090909090909091,0.9636363636363636,154,2.8,20086.63609,1,1.75
2.6221,18,4.679197994987469,1.0676691729323309,871,2.182957393483709,2526.844342,0,2.72
1.4639,6,3.6898263027295286,1.1612903225806452,1509,3.7444168734491314,18398.71262,0,1.125
4.075,18,5.733749349973999,1.0286011440457619,5407,2.811752470098804,47953.23288,1,2.311
14.2959,52,8.172727272727272,0.8727272727272727,304,2.7636363636363637,1545.765229,0,5.00001
2.6902,17,6.035294117647059,1.1911764705882353,975,2.8676470588235294,213530.2436,1,0.944
