MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,DistCoast,Inland,MedHouseVal
3.6885,49,5.184568835098336,1.0529500756429653,2363,3.574886535552193,4205.460788,0,2.54
3.163,26,4.267241379310345,0.961206896551724,719,3.0991379310344827,28060.62402,0,1.794
2.8042,35,3.895017793594306,1.0800711743772242,1193,2.122775800711744,20913.16845,0,2.409
4.2305,32,5.891774891774892,1.235930735930736,2541,5.5,21878.28281,0,2.214
4.7663,38,5.566037735849057,1.0150943396226415,827,3.120754716981132,16863.07499,0,1.916
4.775,36,6.707865168539326,1.0365168539325842,838,2.353932584269663,60531.33135,1,1.941
6.0922,7,6.922535211267606,1.0492957746478873,1335,3.1338028169014085,5068.004863,0,3.424
2.0694,31,6.090909090909091,0.9636363636363636,154,2.8,20086.63609,1,1.75
2.6221,18,4.679197994987469,1.0676691729323309,871,2.182957393483709,2526.844342,0,2.72
4.075,18,5.733749349973999,1.028601144045762,5407,2.811752470098804,47953.23288,1,2.311
6.057,21,6.674358974358975,1.035897435897436,1350,3.4615384615384617,27958.56273,0,2.359
5.1645,11,5.358267716535433,1.0905511811023625,1565,3.0807086614173227,15747.47137,0,1.641
3.1667,52,4.136986301369863,1.0365296803652968,1662,7.589041095890411,18337.97387,0,2.316
3.2232,27,4.86737400530504,1.0954907161803713,1221,3.2387267904509285,19742.55379,0,2.471
4.1857,34,5.288732394366197,1.0369718309859155,1938,3.4119718309859155,23886.97625,0,1.986
5.6266,36,5.981012658227848,0.9430379746835444,371,2.348101265822785,25285.73614,0,3.205
4.5125,50,5.743589743589744,0.9743589743589745,747,3.1923076923076925,15957.71616,0,1.954
4.0775,28,3.9328358208955225,0.996268656716418,1485,2.7705223880597014,6984.344678,0,2.414
3.7917,40,4.959798994974874,1.030150753768844,1039,2.6105527638190957,19973.43687,0,1.516
3.3289,39,5.580487804878048,1.2902439024390244,1449,3.5341463414634147,34539.02926,0,1.906
4.2165,15,4.962085308056872,1.0489731437598735,1729,2.7314375987361768,6609.313179,0,2.346
5.5702,19,5.356435643564357,1.0507425742574257,2243,2.775990099009901,10075.40247,0,3.426
4.9562,45,5.112359550561798,1.0337078651685394,394,4.426966292134831,8479.22727,0,1.657
3.875,32,6.52808988764045,1.101123595505618,563,3.162921348314607,17036.74738,0,2.03
3.4896,24,4.703216374269005,1.0073099415204678,1196,1.7485380116959064,11236.81268,0,2.267
2.8512,25,3.431693989071038,1.0091074681238617,1337,2.435336976320583,6984.344678,0,2.728
2.6981,25,3.946330777656079,1.098576122672508,2719,2.978094194961665,36018.90698,0,2.08
4.5208,5,3.5477386934673367,1.020100502512563,839,4.21608040201005,20989.42688,0,1.65
7.2845,19,7.052631578947368,0.9507640067911716,2130,3.616298811544992,10257.38726,0,3.018
4.1154,28,5.45506419400856,1.0684736091298146,1790,2.553495007132668,17264.60442,0,2.464
6.6478,21,7.030921052631579,1.013157894736842,4552,2.994736842105264,13288.2306,0,3.334
3.9583,35,5.3828125,1.0,379,2.9609375,42144.2207,0,2.06
2.1944,33,4.131313131313132,0.9848484848484848,664,3.3535353535353534,30174.05945,0,2.033
3.9929,14,4.571047957371226,1.0497335701598578,3171,2.8161634103019537,12626.95183,0,2.258
3.375,42,4.468390804597701,0.9683908045977012,1152,3.310344827586207,29715.8004,0,1.696
3.3009,15,5.777992277992278,1.084942084942085,1296,2.501930501930502,135449.6859,1,1.568
3.692,46,5.67479674796748,1.195121951219512,608,2.4715447154471546,22039.73361,0,2.445
2.5352,32,3.717299578059072,1.0365682137834036,2784,3.915611814345992,20924.94581,0,1.844
7.0735,14,8.056485355648535,1.1171548117154813,2052,4.292887029288703,20805.19367,0,3.356
6.8869,6,7.382384532760472,1.0300751879699248,2354,2.5284640171858217,64801.43016,1,2.631
1.6038,23,4.505030181086519,1.080482897384306,784,1.5774647887323945,6473.729109,0,1.943
4.4083,41,4.311546840958606,1.0806100217864925,1157,2.520697167755991,33393.70582,0,2.177
